index,name,child_ids,parent_mids
/m/0dgw9r,human_sounds,"['/m/09l8g', '/m/01w250', '/m/09hlz4', '/m/0bpl036', '/m/0160x5', '/m/0k65p', '/m/01jg02', '/m/04xp5v', '/t/dd00012']",
/m/09l8g,human_voice,"['/m/09x0r', '/m/07p6fty', '/m/03qc9zr', '/m/02rtxlg', '/m/01j3sz', '/m/0463cq4', '/m/07qw_06', '/m/07plz5l', '/m/015lz1', '/m/02fxyj', '/m/07s2xch', '/m/07r4k75', '/m/01j423']",
/m/09x0r,speech,"['/m/05zppz', '/m/02zsn', '/m/0ytgt', '/m/01h8n0', '/m/02qldy', '/m/0261r1', '/m/0brhx']",
/m/05zppz,"male_speech,_man_speaking",[],
/m/02zsn,"female_speech,_woman_speaking",[],
/m/0ytgt,"child_speech,_kid_speaking",[],
/m/01h8n0,conversation,[],
/m/02qldy,"narration,_monologue",[],
/m/0261r1,babbling,[],
/m/0brhx,speech_synthesizer,[],['/m/0dgw9r']
/m/07p6fty,shout,"['/m/07q4ntr', '/m/07rwj3x', '/m/07sr1lc', '/m/04gy_2', '/t/dd00135']",['/m/0dgw9r']
/m/07q4ntr,bellow,[],['/m/0dgw9r']
/m/07rwj3x,whoop,[],['/m/0dgw9r']
/m/07sr1lc,yell,[],['/m/0dgw9r']
/m/04gy_2,battle_cry,[],['/m/0dgw9r']
/t/dd00135,children_shouting,[],['/m/0dgw9r']
/m/03qc9zr,screaming,[],['/m/0dgw9r']
/m/02rtxlg,whispering,[],['/m/0dgw9r']
/m/01j3sz,laughter,"['/t/dd00001', '/m/07r660_', '/m/07s04w4', '/m/07sq110', '/m/07rgt08']",['/m/0dgw9r']
/t/dd00001,baby_laughter,[],['/m/0dgw9r']
/m/07r660_,giggle,[],['/m/0dgw9r']
/m/07s04w4,snicker,[],['/m/0dgw9r']
/m/07sq110,belly_laugh,[],['/m/09l8g']
/m/07rgt08,"chuckle,_chortle",[],['/m/09l8g']
/m/0463cq4,"crying,_sobbing","['/t/dd00002', '/m/07qz6j3']",['/m/09l8g']
/t/dd00002,"baby_cry,_infant_cry",[],['/m/09l8g']
/m/07qz6j3,whimper,[],['/m/09l8g']
/m/07qw_06,"wail,_moan",[],['/m/09l8g']
/m/07plz5l,sigh,[],['/m/09l8g']
/m/015lz1,singing,"['/m/0l14jd', '/m/01swy6', '/m/02bk07', '/t/dd00003', '/t/dd00004', '/t/dd00005', '/t/dd00006', '/m/06bxc']",['/m/09x0r']
/m/0l14jd,choir,[],['/m/09x0r']
/m/01swy6,yodeling,[],['/m/09x0r']
/m/02bk07,chant,['/m/01c194'],['/m/09x0r']
/m/01c194,mantra,[],['/m/09x0r']
/t/dd00003,male_singing,[],['/m/09x0r']
/t/dd00004,female_singing,[],['/m/09x0r']
/t/dd00005,child_singing,[],['/m/09l8g']
/t/dd00006,synthetic_singing,[],['/m/09l8g']
/m/06bxc,rapping,[],['/m/09l8g']
/m/02fxyj,humming,[],['/m/09l8g']
/m/07s2xch,groan,[],['/m/09l8g']
/m/07r4k75,grunt,[],['/m/07p6fty']
/m/01j423,yawn,[],['/m/07p6fty']
/m/01w250,whistling,['/m/079vc8'],['/m/07p6fty']
/m/079vc8,wolf-whistling,[],['/m/07p6fty']
/m/09hlz4,respiratory_sounds,"['/m/0lyf6', '/m/01b_21', '/m/01hsr_', '/m/07ppn3j']","['/m/07p6fty', '/t/dd00012']"
/m/0lyf6,breathing,"['/m/07mzm6', '/m/01d3sd', '/m/07s0dtb', '/m/07pyy8b', '/m/07q0yl5']",['/m/09l8g']
/m/07mzm6,wheeze,[],['/m/09l8g']
/m/01d3sd,snoring,[],['/m/09l8g']
/m/07s0dtb,gasp,[],['/m/09l8g']
/m/07pyy8b,pant,[],['/m/09l8g']
/m/07q0yl5,snort,[],['/m/09l8g']
/m/01b_21,cough,['/m/0dl9sf8'],['/m/09l8g']
/m/0dl9sf8,throat_clearing,[],['/m/01j3sz']
/m/01hsr_,sneeze,[],['/m/01j3sz']
/m/07ppn3j,sniff,[],['/m/01j3sz']
/m/0bpl036,human_locomotion,"['/m/06h7j', '/m/07qv_x_', '/m/07pbtc8']",['/m/01j3sz']
/m/06h7j,run,[],['/m/01j3sz']
/m/07qv_x_,shuffle,[],['/m/09l8g']
/m/07pbtc8,"walk,_footsteps",[],['/m/09l8g']
/m/0160x5,digestive,"['/m/03cczk', '/m/07pdhp0', '/m/0939n_', '/m/01g90h', '/m/03q5_w', '/m/02p3nc', '/m/02_nn']",['/m/0463cq4']
/m/03cczk,"chewing,_mastication",[],['/m/0463cq4']
/m/07pdhp0,biting,[],['/m/09l8g']
/m/0939n_,gargling,[],['/m/09l8g']
/m/01g90h,stomach_rumble,[],['/m/09l8g']
/m/03q5_w,"burping,_eructation",[],['/m/09l8g']
/m/02p3nc,hiccup,[],['/m/09l8g']
/m/02_nn,fart,[],['/m/09l8g']
/m/0k65p,hands,"['/m/025_jnm', '/m/0l15bq']",['/m/09l8g']
/m/025_jnm,finger_snapping,[],['/m/09l8g']
/m/0l15bq,clapping,[],['/m/09l8g']
/m/01jg02,"heart_sounds,_heartbeat",['/m/01jg1z'],['/m/09l8g']
/m/01jg1z,heart_murmur,[],"['/m/015lz1', '/m/04szw']"
/m/04xp5v,otoacoustic_emission,['/m/0pv6y'],['/m/015lz1']
/m/0pv6y,"tinnitus,_ringing_in_the_ears",[],"['/m/015lz1', '/m/0y4f8']"
/t/dd00012,human_group_actions,"['/m/0l15bq', '/m/053hz1', '/m/028ght', '/m/07rkbfh', '/m/03qtwd', '/m/07qfr4h', '/m/04v5dt', '/t/dd00013', '/t/dd00135']",['/m/02bk07']
/m/053hz1,cheering,[],['/m/015lz1']
/m/028ght,applause,[],['/m/015lz1']
/m/07rkbfh,chatter,[],['/m/015lz1']
/m/03qtwd,crowd,[],['/m/015lz1']
/m/07qfr4h,"hubbub,_speech_noise,_speech_babble",[],['/m/015lz1']
/m/04v5dt,booing,[],['/m/09l8g']
/t/dd00013,children_playing,[],['/m/09l8g']
/m/0jbk,animal,"['/m/068hy', '/m/0ch8v', '/m/01280g']",['/m/09l8g']
/m/068hy,"domestic_animals,_pets","['/m/0bt9lr', '/m/01yrx']",['/m/09l8g']
/m/0bt9lr,dog,"['/m/05tny_', '/m/07r_k2n', '/m/07qf0zm', '/m/07rc7d9', '/m/0ghcn6', '/t/dd00136', '/m/07srf8z']",['/m/0dgw9r']
/m/05tny_,bark,[],['/m/01w250']
/m/07r_k2n,yip,[],['/m/0dgw9r']
/m/07qf0zm,howl,[],['/m/0dgw9r']
/m/07rc7d9,bow-wow,[],['/m/0dgw9r']
/m/0ghcn6,growling,[],['/m/0dgw9r']
/t/dd00136,whimper_(dog),[],['/m/09hlz4']
/m/07srf8z,bay,[],['/m/09hlz4']
/m/01yrx,cat,"['/m/02yds9', '/m/07qrkrw', '/m/07rjwbb', '/m/0f25s6', '/m/07r81j2', '/m/0ghcn6']",['/m/09hlz4']
/m/02yds9,purr,[],['/m/09hlz4']
/m/07qrkrw,meow,[],['/m/09hlz4']
/m/07rjwbb,hiss,[],['/m/0lyf6']
/m/0f25s6,cat_communication,[],['/m/0lyf6']
/m/07r81j2,caterwaul,[],['/m/0lyf6']
/m/0ch8v,"livestock,_farm_animals,_working_animals","['/m/03k3r', '/m/0ffhf', '/m/01xq0k1', '/m/068zj', '/m/03fwl', '/m/07bgp', '/m/025rv6n']",['/m/0lyf6']
/m/03k3r,horse,"['/m/07rv9rh', '/m/07q5rw0', '/t/dd00139', '/t/dd00140']",['/m/0lyf6']
/m/07rv9rh,clip-clop,[],['/m/09hlz4']
/m/07q5rw0,"neigh,_whinny",[],['/m/01b_21']
/t/dd00139,snort_(horse),[],['/m/09hlz4']
/t/dd00140,nicker,[],['/m/09hlz4']
/m/0ffhf,"donkey,_ass",[],['/m/0dgw9r']
